,university,career,inscription_date,last_name,first_name,gender,age,postal_code,email,location
0,universidad_nacional_de_tres_de_febrero,ingeniería_electrónica,2020-12-12,jason_mahoney,nan,male,79.0,6315,denise97@hotmail.com,colonia_baron
1,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencias_de_la_computación,2020-10-27,ashley_allen,nan,female,101.0,5444,xclark@hotmail.com,ampacama
2,universidad_nacional_de_tres_de_febrero,arquitectura,2020-10-23,crystal_robles,nan,female,102.0,8134,burkedaniel@hotmail.com,argerich
3,universidad_nacional_de_tres_de_febrero,licenciatura_en_producción_de_bioimagenes,2020-09-08,diana_freeman,nan,female,110.0,6365,derek88@yahoo.com,azteazu
4,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencias_biológicas,2020-10-25,nicholas_vega,nan,male,73.0,4616,rhonda86@hotmail.com,barcena
5,universidad_nacional_de_tres_de_febrero,diseño_industrial,2020-09-20,joshua_hill,nan,male,101.0,7249,kbarajas@gmail.com,el_araza
6,universidad_nacional_de_tres_de_febrero,ciencias_veterinarias,2020-11-22,william_williams,nan,male,39.0,3201,aaron00@gmail.com,camba_paso
7,universidad_nacional_de_tres_de_febrero,licenciatura_en_producción_de_bioimagenes,2021-01-25,gary_edwards,nan,male,69.0,8319,baileychris@gmail.com,campamento_sol
8,universidad_nacional_de_tres_de_febrero,bioquímica,2021-01-19,jennifer_lee,nan,female,74.0,5360,jamiewilliams@gmail.com,chilecito
9,universidad_nacional_de_tres_de_febrero,licenciatura_en_ciencia_y_tecnología_de_alimentos,2020-10-11,david_white,nan,male,102.0,1706,shortdebra@gmail.com,haedo
10,universidad_nacional_de_tres_de_febrero,licenciatura_en_artes,2020-10-29,joseph_smith,nan,male,72.0,6309,kayleelewis@hotmail.com,alpachiri
11,universidad_nacional_de_tres_de_febrero,licenciatura_en_gestión_de_agroalimentos,2020-10-20,michael_barker,nan,male,88.0,3122,bryan82@yahoo.com,arroyo_corralito
