,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email,fecha_nacimiento
0,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_ADMINISTRACIÓN_,17-Sep-20, ,JAMES_GONZALEZ,M,-1,-1,CORONEL_ISLEÑOS,JOSEPHJACKSON@HOTMAIL.COM,08-Mar-42
1,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_RELACIONES_DEL_TRABAJO_,01-Oct-20, ,CHRISTOPHER_RUSSELL,M,-1,-1,BELLOCQ,PATTERSONJEREMY@GMAIL.COM,04-Apr-46
2,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_AMBIENTALES,29-Sep-20, ,MONICA_FARLEY,F,-1,-1,CAÑADA_RICA,MARIA48@YAHOO.COM,02-Oct-72
3,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIA_Y_TECNOLOGÍA_DE_ALIMENTOS,21-Dec-20, ,TAMMY_SUTTON,F,-1,-1,FRANCISCO_MADERO,CHARLES28@HOTMAIL.COM,18-Jun-52
4,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_TERAPIA_OCUPACIONAL,15-Jan-21, ,SYDNEY_PRICE,F,-1,-1,PELLEGRINI,SINGLETONJOSHUA@YAHOO.COM,12-Jun-36
5,UNIVERSIDAD_DEL_SALVADOR,BIOQUÍMICA,21-Nov-20, ,ANTHONY_BAIRD,M,-1,-1,JOSE_CLEMENTE_PAZ,HERNANDEZANDREW@HOTMAIL.COM,08-Sep-70
6,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIA_POLÍTICA_,02-Nov-20, ,ADAM_CLARK,M,-1,-1,CHANILAO,YMILLS@GMAIL.COM,22-Sep-89
7,UNIVERSIDAD_DEL_SALVADOR,INGENIERÍA_ELECTRÓNICA,10-Dec-20, ,CHERYL_CRUZ,F,-1,-1,BANFIELD,CHARLENEBARKER@GMAIL.COM,18-Mar-51
8,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_PRODUCCIÓN_DE_BIOIMAGENES,28-Dec-20, ,REGINA_HUTCHINSON,F,-1,-1,CASTILLA,SIMPSONMICHELLE@HOTMAIL.COM,27-Mar-60
9,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_ANTROPOLÓGICAS,29-Sep-20, ,TODD_FRAZIER,M,-1,-1,ALBERTO_FLORES,AMYNEAL@GMAIL.COM,12-Jun-30
10,UNIVERSIDAD_DEL_SALVADOR,INGENIERÍA_EN_INFORMÁTICA,13-Dec-20, ,MARK_LEWIS,M,-1,-1,ISLA_GRAN_MALVINA,ZFROST@GMAIL.COM,25-Jul-66
