university,career,first_name,last_name,inscription_date,gender,age,email,postal_code,location
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,0,DANIELLE-GONZALEZ,27-05-2020,F,0,MEADOWSSTEPHANIE@GMAIL.COM,0,COLONIA-BARGA
UNIVERSIDAD-DEL-CINE,TÉCNICO-PARA-BIOTERIOS-,0,MARY-YANG,02-07-2020,F,0,LAURA01@HOTMAIL.COM,0,ARBOL-SOLO
UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,0,STACEY-MEDINA,31-12-2020,F,0,SARAHPHAM@YAHOO.COM,0,ALDEA-BELEIRO
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,0,KATHRYN-NICHOLS,29-10-2020,F,0,CHRISTOPHERANDERSON@YAHOO.COM,0,COLONIA-BARGA
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,0,BOB-SIMPSON,10-05-2020,M,0,CPARKER@GMAIL.COM,0,BERMUDEZ
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,0,ERIC-KANE,01-01-2021,M,0,JAMES27@YAHOO.COM,0,SAN-JUSTO
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-MUSICOTERAPIA,0,DEBRA-LAMBERT,17-01-2020,F,0,JOHN49@YAHOO.COM,0,ADAN-QUIROGA
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-Y-TECNOLOGÍA-DE-ALIMENTOS,0,MARK-BASS,05-06-2020,M,0,ROBERT74@HOTMAIL.COM,0,CHAPUY
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-SOCIOLOGÍA-,0,SAVANNAH-BAILEY-MD,24-07-2020,F,0,ERINWRIGHT@GMAIL.COM,0,BAHIA-SAN-BLAS
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,0,DOMINIQUE-ALLEN-DDS,28-06-2020,F,0,MARTINHOLT@HOTMAIL.COM,0,VILLA-RAFFO
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,0,CATHY-JENSEN,13-07-2020,F,0,FMENDEZ@YAHOO.COM,0,SAN-FERNANDO
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,0,DANIEL-GRANT,20-03-2020,M,0,THOMASCOURTNEY@GMAIL.COM,0,RAWSON
UNIVERSIDAD-DEL-CINE,ARQUITECTURA,0,MICHAEL-SHANNON,18-05-2020,M,0,SMITHANGELA@YAHOO.COM,0,ARROYO-QUILLEN
UNIVERSIDAD-DEL-CINE,ARQUITECTURA,0,JOHN-FISHER,16-03-2020,M,0,TREVORWOODS@YAHOO.COM,0,ARANGUREN
UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,0,JOHN-NELSON,18-04-2020,M,0,ANNMARTIN@HOTMAIL.COM,0,CAMPO-BOTTO
UNIVERSIDAD-DEL-CINE,INGENIERÍA-EN-INFORMÁTICA,0,JERRY-BEASLEY,17-09-2020,M,0,BROWNMICHAEL@GMAIL.COM,0,BOQUERON
