university,career,first_name,last_name,inscription_date,gender,age,birth_date,postal_code,location,email
universidad-de-buenos-aires,actuario-,0,amy-wallace,2020-09-24,f,0,21-Mar-12,8431,"4440-edward-junctions-apt.-088
east-brian,-ar-23045",brookejones@yahoo.com
universidad-de-buenos-aires,licenciatura-en-gestión-de-agroalimentos,0,angela-hudson,2020-09-27,f,0,05-Feb-21,3151,"8672-rasmussen-way
leviville,-id-98957",cpatterson@yahoo.com
universidad-de-buenos-aires,ingeniería-en-informática,0,ashley-brown,2020-02-01,f,0,35-Sep-28,6706,"psc-6274,-box-1394
apo-ap-22919",turnerveronica@hotmail.com
universidad-de-buenos-aires,medicina,0,jessica-sandoval,2020-10-18,f,0,45-Sep-12,6601,"4934-robyn-burg
lake-sandy,-al-36317",melinda04@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-de-la-computación,0,joseph-shah,2020-01-20,m,0,43-Oct-25,3563,"4804-joseph-freeway-suite-267
danielmouth,-ny-17304",lynchjasmine@yahoo.com
universidad-de-buenos-aires,ingeniería-mecánica,0,mark-huffman,2020-02-08,m,0,89-Mar-05,5319,"80577-boyd-plains-suite-299
east-mauricefort,-ms-39137",nealtravis@hotmail.com
universidad-de-buenos-aires,licenciatura-en-ciencias-antropológicas,0,barbara-schroeder,2020-04-17,f,0,06-Jul-07,5594,"uscgc-jones
fpo-ae-11010",matthew27@gmail.com
universidad-de-buenos-aires,diseño-de-imagen-y-sonido,0,steven-davis,2020-08-13,m,0,94-Dec-13,4612,"06873-jones-island
mackberg,-me-56606",leslie57@yahoo.com
universidad-de-buenos-aires,licenciatura-en-ciencias-geológicas,0,larry-dennis,2020-04-26,m,0,00-Mar-22,7108,"82873-crawford-court
hillchester,-fl-85084",kristinwhite@gmail.com
universidad-de-buenos-aires,ingeniería-mecánica,0,tina-johnston,2020-03-02,f,0,06-Oct-01,6533,"47918-gina-radial-suite-100
louisland,-nj-62999",blacklinda@hotmail.com
universidad-de-buenos-aires,diseño-industrial,0,nicholas-ford,2020-08-19,m,0,29-Feb-07,2812,"684-joel-meadow
south-brianborough,-ny-43139",kcastro@gmail.com
universidad-de-buenos-aires,licenciatura-en-gestión-de-agroalimentos,0,edwin-schneider,2020-07-05,m,0,19-Oct-12,1763,"39546-allison-grove
south-john,-ak-35774",andersonmichael@hotmail.com
universidad-de-buenos-aires,licenciatura-en-terapia-ocupacional,0,amber-williams,2020-06-07,f,0,96-Oct-04,5409,"unit-6568-box-2320
dpo-ap-32593",leonjenny@hotmail.com
universidad-de-buenos-aires,ciencias-veterinarias,0,yolanda-martinez,2020-04-27,f,0,87-Jul-14,3302,"720-martinez-tunnel-suite-146
port-virginiaborough,-ks-52006",biancamoreno@yahoo.com
universidad-de-buenos-aires,licenciatura-en-ciencias-antropológicas,0,david-cooper,2020-09-20,m,0,29-Aug-01,6105,"8086-davenport-flat-suite-093
port-robertview,-ky-35162",lukegutierrez@yahoo.com
universidad-de-buenos-aires,ingeniería-en-informática,0,nathan-mccarty,2020-03-17,m,0,37-Jul-12,6307,"06426-vincent-extension
north-larryborough,-in-00790",lisa13@gmail.com
universidad-de-buenos-aires,ingeniería-en-informática,0,aaron-rodriguez,2020-01-09,m,0,19-May-07,2152,"3018-stephanie-loop
katieton,-in-46695",denisesoto@gmail.com
universidad-de-buenos-aires,licenciatura-en-planificación-y-diseño-del-paisaje,0,julie-stanley,2020-07-08,f,0,39-Dec-31,1688,"069-cassidy-glen
curtisbury,-sc-83188",kimberly57@gmail.com
